| ru_number  |ra_number  |rura_tot_pcts|rura_voters|st_postal|
|   4067|   5107|   16|   5633|AR   |
|   4070|   5107|   21|  22848|AR   |
|  1|   5626| 2406|1303940|AR   |
|   4001|   5626|   28|   8652|AR   |
|   4002|   5626|   24|  10283|AR   |
|   4003|   5626|   41|  24776|AR   |
|   4004|   5626|   83|  91287|AR   |
|   4005|   5626|   27|  19342|AR   |
|   4006|   5626|   16|   4808|AR   |
|   4007|   5626|   12|   2926|AR   |
|   4008|   5626|   29|  12271|AR   |
|   4009|   5626|   11|   5989|AR   |
|   4010|   5626|   19|  10458|AR   |
|   4011|   5626|   17|   8101|AR   |
|   4012|   5626|   35|  14852|AR   |
|   4013|   5626|   19|   4135|AR   |
|   4014|   5626|   17|  13094|AR   |
|   4015|   5626|   32|  10253|AR   |
|   4016|   5626|   23|  40877|AR   |
|   4017|   5626|   43|  24638|AR   |
|   4018|   5626|   26|  24096|AR   |
|   4019|   5626|   24|   9411|AR   |
|   4020|   5626|   10|   4147|AR   |
|   4021|   5626|   21|   6034|AR   |
|   4022|   5626|   17|   8130|AR   |
|   4023|   5626|   48|  51885|AR   |
|   4024|   5626|   29|   8352|AR   |
|   4025|   5626|   14|   6125|AR   |
|   4026|   5626|   42|  57709|AR   |
|   4027|   5626|   20|   8491|AR   |
|   4028|   5626|   32|  17559|AR   |
|   4029|   5626|   30|   9112|AR   |
|   4030|   5626|   32|  15182|AR   |
|   4031|   5626|   19|   5863|AR   |
|   4032|   5626|   30|  15004|AR   |
|   4033|   5626|   47|   6574|AR   |
|   4034|   5626|   19|   7424|AR   |
|   4035|   5626|  178|  39783|AR   |
|   4036|   5626|   22|  10797|AR   |
|   4037|   5626|   21|   3569|AR   |
|   4038|   5626|   30|   8103|AR   |
|   4039|   5626|   16|   4779|AR   |
|   4040|   5626|   26|   5331|AR   |
|   4041|   5626|   22|   6543|AR   |
|   4042|   5626|   38|  10120|AR   |
|   4043|   5626|   26|  27539|AR   |
|   4044|   5626|   27|   7403|AR   |
|   4045|   5626|   16|   8737|AR   |
|   4046|   5626|   27|  19581|AR   |
|   4047|   5626|   71|  18213|AR   |
|   4048|   5626|   15|   4345|AR   |
|   4049|   5626|   18|   4491|AR   |
|   4050|   5626|   19|   4616|AR   |
|   4051|   5626|   23|   4831|AR   |
|   4052|   5626|   22|  15537|AR   |
|   4053|   5626|   17|   5391|AR   |
|   4054|   5626|   20|  12646|AR   |
|   4055|   5626|   13|   4798|AR   |
|   4056|   5626|   10|  10147|AR   |
|   4057|   5626|   17|   9908|AR   |
|   4058|   5626|   58|  26715|AR   |
|   4059|   5626|   21|   4057|AR   |
|   4060|   5626|  136| 193611|AR   |
|   4061|   5626|   29|   8214|AR   |
|   4062|   5626|   19|  12926|AR   |
|   4063|   5626|   36|  53583|AR   |
|   4064|   5626|   27|   5113|AR   |
|   4065|   5626|   19|   4577|AR   |
|   4066|   5626|   49|  54879|AR   |
|   4067|   5626|   16|   5633|AR   |
|   4068|   5626|   26|   9790|AR   |
|   4069|   5626|   29|   6708|AR   |
|   4070|   5626|   21|  22848|AR   |
|   4071|   5626|   21|   7574|AR   |
|   4072|   5626|  127|  84107|AR   |
|   4073|   5626|   94|  36119|AR   |
|   4074|   5626|   20|   3754|AR   |
|   4075|   5626|   28|   7605|AR   |
|  1|   5692|  565| 334856|CA   |
|   5004|   5692|  121|  85219|CA   |
|   5006|   5692|   18|   7122|CA   |
|   5011|   5692|   30|  10954|CA   |
|   5045|   5692|  114|  87406|CA   |
|   5047|   5692|   63|  23531|CA   |
|   5051|   5692|   76|  36204|CA   |
|   5052|   5692|   46|  27583|CA   |
|   5053|   5692|   24|   6925|CA   |
|   5057|   5692|   26|  10454|CA   |
|   5058|   5692|   47|  24569|CA   |
|  1|   5693|  714| 381402|CA   |
|   5002|   5693|5|739|CA   |
|   5003|   5693|   59|  19895|CA   |
|   5005|   5693|   30|  25805|CA   |
|   5034|   5693|  601| 307665|CA   |
|   5048|   5693|   19|   7653|CA   |
|  1|   5694|  799| 419543|CA   |
|   5004|   5694|   31|  20464|CA   |
|   5009|   5694|  152|  99210|CA   |
|   5018|   5694|   57|  12707|CA   |
|   5025|   5694|   20|   5047|CA   |
|   5029|   5694|   87|  57634|CA   |
|   5031|   5694|  375| 186584|CA   |
|   5032|   5694|   29|  12018|CA   |
|   5034|   5694|   26|  15348|CA   |
|   5046|   5694|   22|   2106|CA   |
|  1|   5695|  525| 286242|CA   |
|   5034|   5695|  525| 270408|CA   |
|  1|   5696|  515| 341486|CA   |
|   5021|   5696|  199| 144207|CA   |
|   5049|   5696|  316| 200886|CA   |
|  1|   5697|  376| 266472|CA   |
|   5007|   5697|  270| 157569|CA   |
|   5048|   5697|  106|  99812|CA   |
|  1|   5698|  483| 336824|CA   |
|   5038|   5698|  483| 325476|CA   |
|  1|   5699|  490| 333911|CA   |
|   5001|   5699|  490| 319364|CA   |
|  1|   5701|  613| 340439|CA   |
|   5001|   5701|   92|  50878|CA   |
|   5007|   5701|  111|  81368|CA   |
|   5039|   5701|  368| 170624|CA   |
|   5043|   5701|   42|  20006|CA   |
|  1|   5702|  422| 323894|CA   |
|   5038|   5702|  107|  74001|CA   |
|   5041|   5702|  315| 245322|CA   |
|  1|   5703|  396| 271468|CA   |
|   5001|   5703|  396| 259641|CA   |
|  1|   5704|  525| 310652|CA   |
|   5041|   5704|  142|  97291|CA   |
|   5043|   5704|  284| 167452|CA   |
|   5044|   5704|   99|  40487|CA   |
|  1|   5705|  458| 269710|CA   |
|   5043|   5705|  458| 263456|CA   |
|  1|   5706|  450| 240944|CA   |
|   5043|   5706|  450| 235357|CA   |
